descricao_projeto,tipo_projeto,departamento,duracao_meses,orcamento,complexidade,recursos_disponiveis,metodologia,risco,entregas,tamanho_equipe,data_inicio,sucesso
Campanha de marketing digital,Software,Operações,31,899947.12,Média,0,Waterfall,Alto,8,7,2024-02-01,1
Pesquisa de satisfação do cliente,Marketing,TI,25,92995.4,Alta,0,Kanban,Médio,10,11,2024-12-30,0
Implementação de CRM,Software,Operações,21,241728.63,Alta,1,Agile,Baixo,10,33,2023-05-11,0
Campanha de marketing digital,Marketing,Marketing,29,764444.58,Média,0,XP,Médio,3,30,2024-07-18,1
Análise de dados financeiros,Infraestrutura,TI,6,723909.03,Média,1,Kanban,Baixo,9,32,2024-02-05,1
Integração de sistemas,Software,RH,18,324808.11,Baixa,1,XP,Médio,1,40,2024-01-01,1
Integração de sistemas,Infraestrutura,Financeiro,35,108923.63,Baixa,1,Waterfall,Baixo,6,37,2023-11-11,1
Integração de sistemas,Pesquisa,Operações,27,865174.17,Baixa,1,Agile,Médio,1,13,2021-05-02,1
Integração de sistemas,Marketing,Marketing,5,348012.76,Baixa,0,Scrum,Baixo,8,7,2022-04-12,0
Automatização de processos,Pesquisa,TI,7,235927.74,Média,2,Scrum,Alto,3,24,2024-05-23,0
Integração de sistemas,Software,TI,10,540258.73,Média,1,Waterfall,Médio,4,11,2021-11-27,0
Integração de sistemas,Infraestrutura,RH,10,914715.84,Média,2,Agile,Alto,6,31,2021-03-29,1
Integração de sistemas,Software,Operações,28,91369.25,Média,1,XP,Baixo,4,14,2024-10-28,0
Treinamento de equipe,Pesquisa,TI,36,777513.88,Média,2,Waterfall,Baixo,8,26,2024-01-29,1
Automatização de processos,Software,RH,10,593849.57,Média,1,Kanban,Médio,9,1,2023-05-22,0
Desenvolvimento de aplicativo móvel,Construção,Marketing,35,454176.66,Baixa,2,XP,Baixo,5,6,2021-05-11,1
Pesquisa de satisfação do cliente,Pesquisa,RH,35,756876.42,Alta,0,Kanban,Baixo,1,31,2024-08-25,1
Pesquisa de satisfação do cliente,Software,Operações,20,967533.2,Baixa,2,Kanban,Médio,8,12,2023-02-09,1
Campanha de marketing digital,Infraestrutura,RH,13,267745.9,Alta,2,XP,Médio,2,1,2021-12-10,0
Treinamento de equipe,Software,TI,11,186465.0,Média,0,Kanban,Baixo,6,6,2024-12-08,0
Construção de dashboard de vendas,Infraestrutura,TI,19,917237.66,Média,1,Scrum,Médio,6,29,2023-03-17,1
Pesquisa de satisfação do cliente,Construção,Financeiro,28,685505.42,Baixa,2,XP,Médio,7,30,2022-01-21,1
Migração de banco de dados,Software,RH,4,466086.72,Baixa,1,Waterfall,Baixo,9,13,2024-04-30,0
Construção de dashboard de vendas,Construção,Marketing,19,594596.59,Média,0,Scrum,Alto,1,30,2023-08-14,0
Integração de sistemas,Pesquisa,Operações,14,758333.21,Média,1,Waterfall,Baixo,10,12,2021-10-04,0
Integração de sistemas,Infraestrutura,Financeiro,31,784380.3,Baixa,0,Agile,Baixo,8,10,2024-03-30,1
Automatização de processos,Pesquisa,RH,28,923899.47,Média,2,Waterfall,Baixo,5,39,2022-04-05,1
Construção de dashboard de vendas,Infraestrutura,Marketing,36,455500.65,Baixa,0,XP,Baixo,6,10,2024-08-30,1
Migração de banco de dados,Construção,Financeiro,19,328740.36,Média,0,Waterfall,Alto,8,18,2021-01-22,0
Automatização de processos,Marketing,TI,1,657681.05,Alta,1,Agile,Baixo,8,6,2021-09-10,0
Campanha de marketing digital,Software,Operações,23,444941.5,Alta,1,Kanban,Médio,7,8,2023-01-18,0
Construção de dashboard de vendas,Construção,RH,28,614868.53,Média,2,XP,Médio,7,20,2023-05-07,1
Treinamento de equipe,Infraestrutura,Marketing,4,448986.51,Baixa,0,Scrum,Médio,1,16,2022-04-20,0
Integração de sistemas,Infraestrutura,TI,18,195346.0,Baixa,0,Scrum,Alto,8,2,2023-12-19,0
Integração de sistemas,Infraestrutura,Financeiro,25,495955.41,Alta,1,Waterfall,Alto,3,11,2022-05-26,0
Implementação de CRM,Infraestrutura,Operações,18,706371.93,Baixa,2,Scrum,Baixo,5,24,2022-12-01,1
Automatização de processos,Software,Financeiro,6,809319.62,Alta,1,Agile,Alto,4,19,2023-09-03,0
Desenvolvimento de aplicativo móvel,Pesquisa,Financeiro,19,518659.96,Média,1,Scrum,Médio,10,4,2021-07-09,0
Desenvolvimento de aplicativo móvel,Marketing,Marketing,12,206976.0,Alta,1,Waterfall,Baixo,3,3,2023-08-16,0
Automatização de processos,Software,TI,25,443953.32,Média,1,Scrum,Médio,10,15,2022-11-18,0
Treinamento de equipe,Infraestrutura,RH,35,796979.23,Média,1,Kanban,Alto,5,40,2023-08-16,1
Análise de dados financeiros,Software,Marketing,1,442216.31,Média,1,Kanban,Baixo,3,4,2022-07-17,0
Automatização de processos,Construção,Operações,5,711704.25,Alta,2,Scrum,Médio,9,17,2024-06-21,0
Treinamento de equipe,Infraestrutura,Financeiro,1,531853.0,Alta,2,XP,Baixo,9,9,2023-04-12,0
Campanha de marketing digital,Marketing,Operações,8,279161.97,Média,2,Scrum,Baixo,6,25,2024-02-29,0
Integração de sistemas,Infraestrutura,Marketing,18,806342.98,Média,1,Kanban,Alto,3,1,2022-10-09,1
Migração de banco de dados,Marketing,Marketing,9,130002.78,Média,1,Kanban,Médio,5,40,2021-01-21,0
Análise de dados financeiros,Marketing,RH,5,548645.77,Média,0,Agile,Baixo,8,2,2023-04-21,0
Construção de dashboard de vendas,Pesquisa,Financeiro,4,248446.48,Alta,2,Waterfall,Médio,9,33,2021-06-16,0
Análise de dados financeiros,Pesquisa,Marketing,29,113712.35,Média,1,Agile,Médio,3,22,2024-07-21,0
Migração de banco de dados,Software,Operações,1,527787.24,Média,2,XP,Médio,5,12,2022-01-23,0
Implementação de CRM,Software,RH,30,524584.05,Média,1,Waterfall,Baixo,2,27,2022-08-24,1
Integração de sistemas,Marketing,Operações,1,721555.86,Média,2,Scrum,Médio,2,11,2021-11-12,0
Desenvolvimento de aplicativo móvel,Infraestrutura,Financeiro,3,757513.16,Alta,1,Scrum,Alto,2,14,2021-01-14,0
Treinamento de equipe,Construção,RH,22,741401.91,Média,1,XP,Médio,6,14,2021-08-30,1
Automatização de processos,Construção,RH,8,439080.8,Baixa,1,Kanban,Médio,3,40,2023-02-16,1
Automatização de processos,Infraestrutura,RH,18,650105.3,Média,2,Scrum,Médio,10,22,2024-10-01,1
Desenvolvimento de aplicativo móvel,Infraestrutura,TI,25,598097.98,Baixa,2,Agile,Baixo,5,9,2022-07-19,1
Análise de dados financeiros,Pesquisa,RH,20,450483.67,Média,2,Kanban,Médio,8,15,2023-06-17,0
Integração de sistemas,Construção,Operações,31,617352.06,Alta,0,Scrum,Baixo,5,33,2024-09-25,0
Pesquisa de satisfação do cliente,Marketing,Operações,30,949885.48,Média,2,Kanban,Baixo,2,19,2021-04-02,1
Treinamento de equipe,Software,Financeiro,16,233249.06,Alta,1,Waterfall,Baixo,6,31,2024-10-22,0
Campanha de marketing digital,Pesquisa,Marketing,2,910483.49,Baixa,1,Scrum,Médio,2,18,2023-08-14,1
Migração de banco de dados,Construção,Marketing,17,100782.74,Alta,0,Scrum,Baixo,8,12,2024-12-22,0
Análise de dados financeiros,Infraestrutura,TI,10,342969.75,Média,0,Kanban,Baixo,2,40,2022-05-24,0
Construção de dashboard de vendas,Construção,RH,7,323737.99,Baixa,0,Waterfall,Baixo,7,37,2023-02-15,0
Implementação de CRM,Marketing,TI,9,645046.85,Média,2,Agile,Baixo,4,1,2021-02-04,0
Automatização de processos,Pesquisa,Financeiro,17,174663.7,Alta,1,Waterfall,Médio,4,34,2021-07-25,0
Análise de dados financeiros,Infraestrutura,Financeiro,9,888230.23,Baixa,0,Agile,Médio,8,7,2024-01-10,1
Implementação de CRM,Marketing,Marketing,9,837123.84,Média,1,XP,Baixo,4,2,2024-11-12,0
Migração de banco de dados,Software,Financeiro,24,669462.53,Alta,1,Waterfall,Baixo,8,22,2023-10-23,0
Automatização de processos,Pesquisa,RH,11,485493.14,Baixa,0,Agile,Médio,9,4,2023-10-19,0
Automatização de processos,Marketing,Operações,8,936308.24,Média,0,Kanban,Médio,8,20,2024-11-14,0
Pesquisa de satisfação do cliente,Marketing,Financeiro,25,839209.23,Média,0,Agile,Médio,4,3,2022-07-20,0
